Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-09-24 10-49-14,2024-09-24 15-49-14,1,2.9,0.2,1144.39,377.777,3,1,3,1,206,1,2.50579,1,1,1,
2024-09-24 10-50-14,2024-09-24 15-50-14,1,1.1,0.2,1156.01,384.488,3,1,3,1,40,1,1.39835,1,1,1,
2024-09-24 10-51-15,2024-09-24 15-51-15,1,1.4,0.1,1156.64,381.641,3,1,3,1,10,1,1.76777,1,1,1,
2024-09-24 10-52-16,2024-09-24 15-52-16,1,1.6,0.3,1172.26,381.723,3,1,3,1,42,1,1.96694,1,1,1,
2024-09-24 10-53-16,2024-09-24 15-53-16,1,1.6,0.3,1192.64,380.194,3,1,3,1,28,1,1.82893,1,1,1,
2024-09-24 10-54-17,2024-09-24 15-54-17,1,1.4,0.3,1200.14,377.003,3,1,3,1,33,1,1.69587,1,1,1,
2024-09-24 10-55-18,2024-09-24 15-55-18,1,0.8,0.5,1201.26,376.925,3,1,3,1,8,0,0.65124,1,1,1,
2024-09-24 10-56-18,2024-09-24 15-56-18,1,0.3,0.3,1201.26,376.926,3,1,3,1,2,0,0.108264,1,1,1,
2024-09-24 10-57-19,2024-09-24 15-57-19,1,0.3,0.1,1201.26,376.926,3,1,3,1,3,0,0.0909091,1,1,1,
2024-09-24 10-58-19,2024-09-24 15-58-19,1,0.3,0.1,1201.76,376.928,3,1,3,1,3,0,0.0966942,1,1,1,
2024-09-24 10-59-20,2024-09-24 15-59-20,1,0.3,0.1,1266.64,376.785,3,1,3,1,45,0,0.182645,1,1,1,
2024-09-24 11-00-21,2024-09-24 16-00-21,1,0.3,0.2,1278.89,241.559,3,1,1,1,3,0,0.0958678,1,1,1,
2024-09-24 11-01-21,2024-09-24 16-01-21,1,0.3,0.1,1278.89,241.559,3,1,1,1,2,0,0.107438,1,1,1,
2024-09-24 11-02-22,2024-09-24 16-02-22,1,0.3,0.2,1279.01,241.56,3,1,1,1,2,0,0.077686,1,1,1,
2024-09-24 11-03-22,2024-09-24 16-03-22,1,0.3,0.4,1279.01,241.56,3,1,1,1,3,0,0.0801653,1,1,1,
2024-09-24 11-04-23,2024-09-24 16-04-23,1,0.3,0.3,1279.01,241.561,3,1,1,1,2,0,0.0842975,1,1,1,
2024-09-24 11-05-24,2024-09-24 16-05-24,1,0.3,0.1,1279.01,241.562,3,1,1,1,3,0,0.0909091,1,1,1,
2024-09-24 11-06-24,2024-09-24 16-06-24,1,0.3,0,1279.01,241.563,3,1,1,1,3,0,0.0867769,1,1,1,
2024-09-24 11-07-25,2024-09-24 16-07-25,1,0.2,0.2,1279.01,241.564,3,1,1,1,3,0,0.0760331,1,1,1,
2024-09-24 11-08-25,2024-09-24 16-08-25,1,0.9,0.2,1353.01,377.707,3,1,3,1,14,0,0.42562,1,1,1,
2024-09-24 11-09-26,2024-09-24 16-09-26,1,1.7,0.5,1509.26,458.702,3,1,4,1,95,1,1.77603,1,1,1,
