Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-09-24 09-34-35,2024-09-24 14-34-35,1,2.5,0.2,1102.54,380.107,3,1,3,1,342,0,2.42266,1,1,1,
2024-09-24 09-35-35,2024-09-24 14-35-35,1,0.3,0.2,1102.54,380.108,3,1,3,1,3,0,0.106612,1,1,1,
2024-09-24 09-36-36,2024-09-24 14-36-36,1,0.4,0.2,1102.91,380.226,3,1,3,1,8,0,0.255372,1,1,1,
2024-09-24 09-37-37,2024-09-24 14-37-37,1,0.3,0.4,1102.91,380.226,3,1,3,1,2,0,0.116529,1,1,1,
2024-09-24 09-38-37,2024-09-24 14-38-37,1,0.3,0.3,1102.91,380.227,3,1,3,1,3,0,0.106612,1,1,1,
2024-09-24 09-39-38,2024-09-24 14-39-38,1,0.3,0.2,1102.91,380.227,3,1,3,1,2,0,0.11157,1,1,1,
2024-09-24 09-40-38,2024-09-24 14-40-38,1,0.6,0.3,1118.04,380.962,3,1,3,1,24,0,0.539669,1,1,1,
2024-09-24 09-41-39,2024-09-24 14-41-39,1,1.5,0.3,1129.29,379.851,3,1,3,1,41,1,1.88264,1,1,1,
2024-09-24 09-42-40,2024-09-24 14-42-40,1,1.4,0.3,1140.54,380.433,3,1,3,1,17,1,1.84545,1,1,1,
2024-09-24 09-43-40,2024-09-24 14-43-40,1,1.8,0.3,1159.54,377.799,3,1,3,1,41,1,2.06694,1,1,1,
2024-09-24 09-44-41,2024-09-24 14-44-41,1,1.8,0.3,1241.66,370.502,3,1,3,1,43,1,2.06446,1,1,1,
2024-09-24 09-45-41,2024-09-24 14-45-41,1,1.7,0.3,1250.54,371.447,3,1,3,1,25,1,1.89174,1,1,1,
2024-09-24 09-46-42,2024-09-24 14-46-42,1,1.5,0.3,1262.79,381.778,3,1,3,1,48,1,1.80248,1,1,1,
2024-09-24 09-47-43,2024-09-24 14-47-43,1,1.5,0.5,1290.29,388.313,3,1,3,1,47,1,1.8124,1,1,1,
2024-09-24 09-48-43,2024-09-24 14-48-43,1,1.6,0.4,1302.04,380.094,3,1,3,1,24,1,1.86033,1,1,1,
2024-09-24 09-49-44,2024-09-24 14-49-44,1,1.6,0.4,1315.04,388.822,3,1,3,1,46,1,1.87851,1,1,1,
2024-09-24 09-50-45,2024-09-24 14-50-45,1,1.7,0.4,1325.04,392.76,3,1,3,1,44,1,2.00992,1,1,1,
2024-09-24 09-51-45,2024-09-24 14-51-45,1,1.8,0.4,1334.79,397.037,3,1,3,1,41,2,2.14545,1,1,1,
2024-09-24 09-52-46,2024-09-24 14-52-46,1,1.7,0.3,1335.66,395.849,3,1,3,1,47,1,2.05702,1,1,1,
2024-09-24 09-53-46,2024-09-24 14-53-46,1,1.9,0.3,1359.79,409.858,3,1,3,1,49,1,1.90331,1,1,1,
