Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-09-24 09-23-43,2024-09-24 14-23-43,1,1.8,0.2,1129.53,361.813,3,1,3,1,257,1,1.41176,1,1,1,
2024-09-24 09-24-44,2024-09-24 14-24-44,1,1.2,0.1,1166.28,372.688,3,1,3,1,47,1,1.65207,1,1,1,
2024-09-24 09-25-45,2024-09-24 14-25-45,1,1.3,0.3,1203.66,376.417,3,1,3,1,42,1,1.72397,1,1,1,
2024-09-24 09-26-45,2024-09-24 14-26-45,1,1.5,0.3,1246.78,384.396,3,1,3,1,49,1,1.8314,1,1,1,
2024-09-24 09-27-46,2024-09-24 14-27-46,1,1.3,0.1,1255.03,390.627,3,1,3,1,8,1,1.64711,1,1,1,
2024-09-24 09-28-46,2024-09-24 14-28-46,1,1.5,0.2,1273.41,397.392,3,1,3,1,36,1,1.83306,1,1,1,
2024-09-24 09-29-47,2024-09-24 14-29-47,1,0.9,0.5,1274.78,401.865,3,1,3,1,49,0,0.883471,1,1,1,
2024-09-24 09-30-48,2024-09-24 14-30-48,1,0.2,0.2,1274.78,401.866,3,1,3,1,3,0,0.0942149,1,1,1,
2024-09-24 09-31-48,2024-09-24 14-31-48,1,0.3,0.2,1274.78,401.936,3,1,3,1,6,0,0.119835,1,1,1,
2024-09-24 09-32-49,2024-09-24 14-32-49,1,0.2,0.2,1275.03,401.952,3,1,3,1,4,0,0.121488,1,1,1,
