Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-09-24 16-19-29,2024-09-24 21-19-29,1,1.2,0.1,653.289,263.257,3,1,2,1,216,0,0.91157,1,1,1,
2024-09-24 16-20-29,2024-09-24 21-20-29,1,0.4,0.2,677.539,264.622,4,1,2,1,25,0,0.208264,1,1,1,
2024-09-24 16-21-30,2024-09-24 21-21-30,1,1.2,0,1246.79,449.025,4,1,5,1,198,0,1.17769,1,1,1,
2024-09-24 16-22-31,2024-09-24 21-22-31,1,1.1,0.1,1274.54,444.176,4,1,5,1,31,2,2.0314,1,1,1,
2024-09-24 16-23-31,2024-09-24 21-23-31,1,1,0.4,1283.54,439.964,4,1,5,1,9,2,1.89008,1,1,1,
2024-09-24 16-24-32,2024-09-24 21-24-32,1,2.1,0.3,1840.96,461.831,10,1,5,1,3093,2,27.7231,1,1,1,
2024-09-24 16-25-33,2024-09-24 21-25-33,1,1.6,0.2,1875.21,483.269,10,1,5,1,48,2,2.27025,1,1,1,
2024-09-24 16-26-33,2024-09-24 21-26-33,1,1.6,0.4,1894.34,490.533,10,1,4,1,23,2,2.29091,1,1,1,
2024-09-24 16-27-34,2024-09-24 21-27-34,1,1.4,0.5,1894.71,496.905,10,1,4,1,41,2,2.27851,1,1,1,
2024-09-24 16-28-34,2024-09-24 21-28-34,1,1.6,0.8,1911.34,498.315,10,1,4,1,46,2,2.43967,1,1,1,
2024-09-24 16-29-35,2024-09-24 21-29-35,1,1.7,0.5,1982.09,499.364,10,1,4,1,46,2,2.46777,1,1,1,
2024-09-24 16-30-36,2024-09-24 21-30-36,1,1.7,0.3,1982.09,508.076,10,1,4,1,40,2,2.3686,1,1,1,
2024-09-24 16-31-36,2024-09-24 21-31-36,1,1.8,0.5,2046.96,578.126,10,1,5,1,164,2,2.57438,1,1,1,
2024-09-24 16-32-37,2024-09-24 21-32-37,1,1.3,0.5,2060.96,576.967,11,1,5,1,49,1,1.74463,1,1,1,
2024-09-24 16-33-37,2024-09-24 21-33-37,1,1.5,0.4,2115.8,580.574,11,1,5,1,149,2,2.59008,1,1,1,
2024-09-24 16-34-38,2024-09-24 21-34-38,1,1.5,0.6,2116.78,581.384,11,1,5,1,44,2,2.23388,1,1,1,
2024-09-24 16-35-39,2024-09-24 21-35-39,1,1.6,0.7,2134.32,604.319,11,1,5,1,80,2,2.60744,1,1,1,
2024-09-24 16-36-39,2024-09-24 21-36-39,1,1.6,0.4,2148.95,608.196,12,1,5,1,72,2,2.9124,1,1,1,
2024-09-24 16-37-40,2024-09-24 21-37-40,1,1.5,0.6,2265.07,607.621,12,1,5,1,181,2,2.49835,1,1,1,
2024-09-24 16-38-40,2024-09-24 21-38-40,1,1.5,0.5,2279.57,620.268,12,1,5,1,160,2,2.77521,1,1,1,
2024-09-24 16-39-41,2024-09-24 21-39-41,1,1.5,0.6,2305.07,618.195,12,1,5,1,48,2,2.69174,1,1,1,
2024-09-24 16-40-42,2024-09-24 21-40-42,1,1.7,0.8,2310.95,628.728,12,1,5,1,45,2,2.7,1,1,1,
2024-09-24 16-41-42,2024-09-24 21-41-42,1,1.7,0.5,2314.7,603.967,12,1,5,1,15,2,2.60083,1,1,1,
2024-09-24 16-42-43,2024-09-24 21-42-43,1,1.6,0.6,2314.95,553.731,12,1,4,1,26,2,2.42975,1,1,1,
2024-09-24 16-43-44,2024-09-24 21-43-44,1,1.8,0.3,2329.45,621.993,12,1,5,1,151,2,2.57273,1,1,1,
2024-09-24 16-44-44,2024-09-24 21-44-44,1,1.2,0.7,2329.45,623.983,12,1,5,1,49,1,1.68182,1,1,1,
2024-09-24 16-45-45,2024-09-24 21-45-45,1,1.6,0.4,2344.57,652.988,12,1,5,1,25,1,1.91157,1,1,1,
2024-09-24 16-46-45,2024-09-24 21-46-45,1,1.5,0.7,2344.95,649.723,12,1,5,1,44,1,2.07025,1,1,1,
2024-09-24 16-47-46,2024-09-24 21-47-46,1,1.6,0.5,2344.95,648.426,12,1,5,1,11,2,2.0438,1,1,1,
2024-09-24 16-48-47,2024-09-24 21-48-47,1,1.6,0.5,2345.7,494.325,12,1,3,1,34,2,2.14959,1,1,1,
2024-09-24 16-49-47,2024-09-24 21-49-47,1,1.9,0.5,2345.82,498.954,12,1,3,1,37,2,2.06777,1,1,1,
2024-09-24 16-50-48,2024-09-24 21-50-48,1,2,0.5,2345.82,505.613,12,1,3,1,80,2,2.29917,1,1,1,
2024-09-24 16-51-48,2024-09-24 21-51-48,1,2,0.5,2345.95,500.939,13,1,3,1,39,2,2.31488,1,1,1,
2024-09-24 16-52-49,2024-09-24 21-52-49,1,2.2,0.3,2373.32,542.167,13,1,4,1,114,2,2.41901,1,1,1,
2024-09-24 16-53-50,2024-09-24 21-53-50,1,1.5,0.6,2373.32,555.385,13,1,4,1,47,1,1.93884,1,1,1,
