Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-09-25 10-20-59,2024-09-25 15-20-59,1,1.2,0.6,1969.91,636.945,6,1,6,1,46,2,1.95207,1,1,1,
2024-09-25 10-22-00,2024-09-25 15-22-00,1,1.3,0.7,1995.9,647.695,6,1,6,1,45,2,2.12066,1,1,1,
2024-09-25 10-23-01,2024-09-25 15-23-01,1,1.1,0.5,2047.08,711.772,6,1,7,1,157,1,1.94793,1,1,1,
2024-09-25 10-24-01,2024-09-25 15-24-01,1,1.1,0.6,2058.2,721.147,6,1,7,1,24,1,1.69587,1,1,1,
2024-09-25 10-25-02,2024-09-25 15-25-02,1,1.2,0.5,2087.33,609.474,6,1,5,1,41,1,1.76446,1,1,1,
2024-09-25 10-26-02,2024-09-25 15-26-02,1,1.2,0.3,2087.33,606.649,6,1,5,1,14,1,1.71736,1,1,1,
2024-09-25 10-27-03,2024-09-25 15-27-03,1,1.4,0.7,2087.33,603.699,6,1,5,1,23,2,1.97025,1,1,1,
2024-09-25 10-28-04,2024-09-25 15-28-04,1,1.7,0.3,2089.33,513.196,6,1,4,1,120,1,1.92066,1,1,1,
2024-09-25 10-29-04,2024-09-25 15-29-04,1,1,0.4,2089.95,512.997,6,1,4,1,42,1,1.26116,1,1,1,
2024-09-25 10-30-05,2024-09-25 15-30-05,1,1.3,0.3,2090.2,509.16,6,1,4,1,19,1,1.88347,1,1,1,
2024-09-25 10-31-06,2024-09-25 15-31-06,1,1.4,0.4,2090.58,517.112,6,1,4,1,43,1,1.89008,1,1,1,
2024-09-25 10-32-06,2024-09-25 15-32-06,1,1.7,0.3,2133.08,657.203,14,1,7,1,156,1,2.17438,1,1,1,
2024-09-25 10-33-07,2024-09-25 15-33-07,1,1.6,0.6,2140.95,685.385,15,1,7,1,95,2,2.30248,1,1,1,
2024-09-25 10-34-07,2024-09-25 15-34-07,1,1.4,0.8,2258.7,821.725,15,1,10,1,107,2,2.05041,1,1,1,
2024-09-25 10-35-08,2024-09-25 15-35-08,1,1.3,0.7,2264.2,800.191,15,1,10,1,16,1,1.71901,1,1,1,
2024-09-25 10-36-08,2024-09-25 15-36-08,1,1.1,0.6,2300.08,807.069,15,1,11,1,20,0,0.610744,1,1,1,
2024-09-25 10-37-09,2024-09-25 15-37-09,1,1,0.9,2274,744.354,15,1,10,1,18,0,0.626446,1,1,1,
2024-09-25 10-38-10,2024-09-25 15-38-10,1,0.9,0.6,2276.88,772.783,15,1,12,1,22,0,0.543802,1,1,1,
2024-09-25 10-39-10,2024-09-25 15-39-10,1,1.3,0.7,2318.45,744.538,15,1,12,1,75,1,1.56529,1,1,1,
2024-09-25 10-40-11,2024-09-25 15-40-11,1,1.3,0.5,2347.08,749.08,15,1,12,1,119,1,2.10413,1,1,1,
2024-09-25 10-41-11,2024-09-25 15-41-11,1,1,0.4,2360.2,791.894,15,1,11,1,81,2,2.2843,1,1,1,
2024-09-25 10-42-12,2024-09-25 15-42-12,1,1.1,0.6,2446.08,797.241,15,1,11,1,177,1,2.04463,1,1,1,
2024-09-25 10-43-13,2024-09-25 15-43-13,1,0.7,0.4,2446.2,788.9,15,1,9,1,11,0,0.542149,1,1,1,
2024-09-25 10-44-13,2024-09-25 15-44-13,1,0.7,0.6,2446.2,779.897,15,1,8,1,10,0,0.71405,1,1,1,
2024-09-25 10-45-14,2024-09-25 15-45-14,1,1.1,0.5,2446.7,773.36,15,1,8,1,34,1,1.66777,1,1,1,
2024-09-25 10-46-14,2024-09-25 15-46-14,1,1.1,0.6,2449.08,782.305,15,1,8,1,40,1,1.67934,1,1,1,
2024-09-25 10-47-15,2024-09-25 15-47-15,1,1.1,0.4,2459.2,548.67,15,1,3,1,35,1,1.57025,1,1,1,
2024-09-25 10-48-16,2024-09-25 15-48-16,1,1.2,0.3,2459.2,549.413,15,1,3,1,41,1,1.3405,1,1,1,
2024-09-25 10-49-16,2024-09-25 15-49-16,1,1.2,0.1,2459.45,537.725,15,1,3,1,34,1,1.41488,1,1,1,
2024-09-25 10-50-17,2024-09-25 15-50-17,1,1.5,0.2,2459.45,554.017,15,1,3,1,39,1,1.84545,1,1,1,
2024-09-25 10-51-17,2024-09-25 15-51-17,1,1.5,0.2,2459.45,541.06,15,1,3,1,39,1,1.86198,1,1,1,
2024-09-25 10-52-18,2024-09-25 15-52-18,1,1.4,0,2470.2,551.652,15,1,3,1,49,1,1.85289,1,1,1,
2024-09-25 10-53-19,2024-09-25 15-53-19,1,1.5,0.3,2471.2,551.273,15,1,3,1,9,1,1.74711,1,1,1,
2024-09-25 10-54-19,2024-09-25 15-54-19,1,1.6,0.3,2471.58,559.011,5,1,3,1,11,1,1.80083,1,1,1,
2024-09-25 10-55-20,2024-09-25 15-55-20,1,1.9,0.4,2471.58,579.011,5,1,3,1,48,2,2.00826,1,1,1,
2024-09-25 10-56-20,2024-09-25 15-56-20,1,1.5,0.3,2471.58,578.692,4,1,3,1,44,2,1.94215,1,1,1,
2024-09-25 10-57-21,2024-09-25 15-57-21,1,1.5,0.4,2471.58,571.609,4,1,3,1,12,1,1.79091,1,1,1,
2024-09-25 10-58-22,2024-09-25 15-58-22,1,1.9,0.4,2505.83,596.508,4,1,3,1,65,2,2.36942,1,1,1,
2024-09-25 10-59-22,2024-09-25 15-59-22,1,1.8,0.4,2507.95,581.866,4,1,3,1,43,2,1.97521,1,1,1,
2024-09-25 11-00-23,2024-09-25 16-00-23,1,0.4,0.2,2508.08,578.801,4,1,3,1,9,0,0.27438,1,1,1,
2024-09-25 11-01-24,2024-09-25 16-01-24,1,0.9,0.4,2510.45,576.918,4,1,3,1,15,1,1.18926,1,1,1,
2024-09-25 11-02-24,2024-09-25 16-02-24,1,1.6,0.5,2554.33,588.264,4,1,3,1,25,2,2.05207,1,1,1,
2024-09-25 11-03-25,2024-09-25 16-03-25,1,1.5,0.3,2554.33,584.985,4,1,3,1,17,2,2.01736,1,1,1,
2024-09-25 11-04-25,2024-09-25 16-04-25,1,1.5,0.3,2554.33,574.102,4,1,3,1,32,2,2.0314,1,1,1,
