Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-09-25 10-01-48,2024-09-25 15-01-48,1,2.5,0.2,1162.32,432.386,3,1,4,1,293,1,2.78063,1,1,1,
2024-09-25 10-02-48,2024-09-25 15-02-48,1,1,0.2,1170.94,431.679,3,1,4,1,49,1,1.6876,1,1,1,
2024-09-25 10-03-49,2024-09-25 15-03-49,1,1.2,0.1,1240.69,440.61,3,1,4,1,29,1,1.85702,1,1,1,
2024-09-25 10-04-50,2024-09-25 15-04-50,1,1.2,0.2,1296.94,451.94,4,1,4,1,185,1,2.2438,1,1,1,
2024-09-25 10-05-50,2024-09-25 15-05-50,1,1.2,0.3,1320.07,446.723,4,1,4,1,39,1,1.84463,1,1,1,
2024-09-25 10-06-51,2024-09-25 15-06-51,1,1.3,0.4,1331.57,442.751,4,1,4,1,21,1,1.79421,1,1,1,
2024-09-25 10-07-52,2024-09-25 15-07-52,1,1.2,0.3,1336.94,445.665,5,1,4,1,36,1,1.79421,1,1,1,
2024-09-25 10-08-52,2024-09-25 15-08-52,1,1.4,0.5,1594.57,531.49,5,1,5,1,194,1,1.98347,1,1,1,
2024-09-25 10-09-53,2024-09-25 15-09-53,1,1.2,0.3,1630.82,532.954,5,1,5,1,47,2,1.96694,1,1,1,
2024-09-25 10-10-53,2024-09-25 15-10-53,1,1.3,0.6,1643.82,561.291,5,1,5,1,111,2,2.42397,1,1,1,
2024-09-25 10-11-54,2024-09-25 15-11-54,1,1.7,0.4,1754.82,590.14,5,1,5,1,43,2,2.37355,1,1,1,
2024-09-25 10-12-55,2024-09-25 15-12-55,1,1.4,0.5,1788.69,579.317,5,1,5,1,47,2,2.35537,1,1,1,
2024-09-25 10-13-55,2024-09-25 15-13-55,1,1.5,0.6,1792.32,510.52,5,1,4,1,47,2,2.30579,1,1,1,
2024-09-25 10-14-56,2024-09-25 15-14-56,1,1.6,0.5,1793.27,509.529,5,1,4,1,22,2,2.3281,1,1,1,
2024-09-25 10-15-56,2024-09-25 15-15-56,1,1.6,0.6,1896.41,621.291,6,1,6,1,92,2,2.27355,1,1,1,
2024-09-25 10-16-57,2024-09-25 15-16-57,1,1.2,0.3,1896.78,622.3,6,1,6,1,15,1,1.88512,1,1,1,
2024-09-25 10-17-58,2024-09-25 15-17-58,1,1.3,0.6,1905.66,619.866,6,1,6,1,49,1,1.90661,1,1,1,
2024-09-25 10-18-58,2024-09-25 15-18-58,1,1.2,0.6,1908.78,622.597,6,1,6,1,49,1,1.96116,1,1,1,
2024-09-25 10-19-59,2024-09-25 15-19-59,1,1.2,0.2,1949.91,633.276,6,1,6,1,168,2,2.56612,1,1,1,
